Job Title,Location,Category,URL,Date Posted,Contract Type
Functional Tester,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/227232-en_GB+sap_btp/,01 May 2025,Permanent
Clinical Data Manager,"VNG - Cais de Gaia, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/299924-en_US+sap_btp/,28 Jul 2025,Permanent
Integration Engineer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/279087-en_US+sap_btp/,30 Jun 2025,Permanent
RPA Developer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/268282-en_GB+sap_btp/,22 Jul 2025,Permanent
Devops,"Lisboa - Colombo, Fundão, VNG - Lake Towers, VNG - Cais de Gaia, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/220484-en_US+sap_btp/,22 Apr 2025,Permanent
Strategy & Transformation Senior Consultant,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/215293-en_US+sap_btp/,16 Apr 2025,Permanent
Oracle Apex Developer (Lisbon),Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/247580-en_GB+sap_btp/,23 May 2025,Permanent
IT Lead Buyer - Software,"Lisboa - Expo, Lisboa - Colombo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/221776-en_US+sap_btp/,23 Apr 2025,Permanent
Data & AI,Vila Nova de Gaia,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/251493-en_US+sap_btp/,04 Aug 2025,Permanent
Senior Consultant SAP PP | Lisboa,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/211082-en_GB+sap_btp/,11 Apr 2025,Permanent
Packet Core Integrator Engineer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/262617-en_GB+sap_btp/,10 Jun 2025,Permanent
Core Engagement Manager,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/292441-en_US+sap_btp/,16 Jul 2025,Fixed Term Contract
Scrum Master (Lisbon),Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/251492-en_GB+sap_btp/,28 May 2025,Permanent
Statistical Programmer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/293626-en_US+sap_btp/,17 Jul 2025,Permanent
Solution Services Automation Tester,"Fundão, VNG - Lake Towers, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/260619-en_GB+sap_btp/,06 Jun 2025,Permanent
